Altium Designer Pick and Place Locations
C:\Users\TerayTech-Office\OneDrive - mil0\2023Projects\SlimeVR_REVTT\SlimeVR_REVTT\Project Outputs for SlimeVR_REVTT\Pick Place for SLMVRtt_REV1.3_MH.csv

========================================================================================================================
File Design Information:

Date:       29/01/23
Time:       12:01
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"SW1","switch 侧按","TopLayer","TSW_3*6*4.3-S-W","35.1720","2.1470","360",""
"R33","470K","TopLayer","0402L","6.3500","8.6360","360","Resistor"
"R32","470K","TopLayer","0402L","6.3500","7.7470","180","Resistor"
"L2","INDUCTOR","TopLayer","Inductor__SMNR4020","9.9820","2.0320","270","电感"
"IC4","IP2312","TopLayer","SOIC-8N","23.8760","6.8580","0","Integrated Circuit"
"C32","0.1uF","TopLayer","0402L","9.6520","10.5330","270","Capacitor"
"C31","10uF","TopLayer","0805","5.8420","15.6210","270","Capacitor"
"C30","10uF","TopLayer","0805","17.3990","5.6270","90","Capacitor"
"J4","HEADER-5PIN","TopLayer","HEADER_5P_1.25_RT","4.1440","43.5610","270",""
"J3","HEADER-5PIN","BottomLayer","HEADER_5P_1.25_RT","4.1440","43.5610","90",""
"R31","100R","TopLayer","0402L","13.7160","36.1950","180","Resistor"
"JP1","header 4PIN","TopLayer","header4","44.3230","31.2420","90",""
"R30","10K","TopLayer","0402L","26.1366","17.6530","360","Resistor"
"R21","10K","TopLayer","0402L","26.1366","16.6878","360","Resistor"
"R20","10K","TopLayer","0402L","13.3350","7.2390","180","Resistor"
"D8","黄","TopLayer","0603_LED","43.9420","7.1120","180","LED 发光二极管"
"Y1","FC-135_32.7680KA-AG0","TopLayer","FC135327680KAAG0","29.7942","25.1460","180","Crystal or Oscillator"
"U4","TPS63070RNMR","TopLayer","RNM0015A","9.9060","7.1925","270","Imported"
"U3","BNO-08x","TopLayer","BNO085","30.8245","21.4209","90","Accelerometer"
"D7","黄","TopLayer","0603_LED","43.9420","8.3820","180","LED 发光二极管"
"D6","黄","TopLayer","0603_LED","43.9420","9.5250","180","LED 发光二极管"
"D5","黄","TopLayer","0603_LED","43.9420","10.7950","180","LED 发光二极管"
"C29","10uF","TopLayer","0805","15.3670","5.6270","90","Capacitor"
